"Film"	"Budget"	"CA_USA"	"CA_Monde"
"Soul Survivors"	14000000	3100650	4288246
"Catch a Fire"	14000000	4299773	5699773
"Gossip"	14000000	5108820	12591270
"Easy Virtue"	14000000	2656784	12656784
"I Think I Love My Wife"	14000000	12559771	13205411
"Little Children"	14000000	5463019	14763019
"Jason X"	14000000	13121555	16951798
"Le Scaphandre et le Papillon"	14000000	5990075	19689095
"Bobby"	14000000	11242801	20597806
"A Perfect Getaway"	14000000	15515460	20613298
"Jonah: A VeggieTales Movie"	14000000	25571351	25606175
"All About the Benjamins"	14000000	25482931	25873145
"An American Haunting"	14000000	16298046	27844063
"Urban Legend"	14000000	38116707	72571864
"Dude, Where's My Car?"	14000000	46729374	73180297
"Stomp the Yard"	14000000	61356221	76356221
"My Bloody Valentine"	14000000	51545952	102754998
"First Blood"	14000000	47212904	125212904
"Towering Inferno"	14000000	116000000	139700000
"Cool Runnings"	14000000	68856263	155056263
"The Spy Who Loved Me"	14000000	46800000	185400000
"Fatal Attraction"	14000000	156645693	320100000
"Slumdog Millionaire"	14000000	141319928	365257315
"Pretty Woman"	14000000	178406268	432645872
"Manderlay"	14200000	74205	543306
"Romeo+Juliet"	14500000	46338728	147542381
"All the Queen's Men"	15000000	22723	22723
"Midnight Meat Train"	15000000	73548	1590246
"Felicia's Journey"	15000000	824295	1970268
"The Return"	15000000	501752	2658490
"Things to Do in Denver when You're Dead"	15000000	529766	2675426
"The Company"	15000000	2281585	3396508
"Centurion"	15000000	123570	6623570
"Ong-Bak 2"	15000000	102458	7583050
"Hoot"	15000000	8117637	8224998
"The Rocker"	15000000	6409528	8767338
"Here on Earth"	15000000	10494147	10845127
"Banlieue 13"	15000000	1200216	11208291
"Never Let Me Go"	15000000	2434652	11509512
"Mulholland Drive"	15000000	7219578	11919578
"Dark Blue"	15000000	9237470	11933396
"Knockaround Guys"	15000000	11660180	12419700
"Kiss Kiss, Bang Bang"	15000000	4235837	13105837
"Raise Your Voice"	15000000	10411980	14811980
"Boat Trip"	15000000	8586376	14933713
"Eye of the Beholder"	15000000	16500786	18260865
"A Mighty Heart"	15000000	9176787	18932117
"Tuck Everlasting"	15000000	19161999	19344615
"Country Strong"	15000000	20218921	20551476
"Flicka"	15000000	21000147	21893591
"The Marine"	15000000	18844784	22165608
"U2 3D"	15000000	12273816	25545371
"Ramona and Beezus"	15000000	26167002	27470511
"Love and Basketball"	15000000	27441122	27709625
"In Bruges"	15000000	7800825	30782621
"Grosse Point Blank"	15000000	28084357	31070412
"Confessions of a Teenage Drama Queen"	15000000	29331068	33051296
"Because of Winn-Dixie"	15000000	32647042	33489775
"You Will Meet a Tall Dark Stranger"	15000000	3247816	34247816
"Malibu's Most Wanted"	15000000	34308901	34499204
"Whatever Works"	15000000	5306706	35106706
"The Hills Have Eyes II"	15000000	20804166	37466538
"Halloween: Resurrection"	15000000	30259652	37659652
"Halloween 2"	15000000	33392973	38512850
"Urban Legends: Final Cut"	15000000	21468807	38574362
"Where the Heart Is"	15000000	33771174	40862054
"One Day"	15000000	13843771	42843771
"Boogie Nights"	15000000	26410771	43111725
"Clash of the Titans"	15000000	30000000	44400000
"George A. Romero's Land of the Dead"	15000000	20700082	45900082
"The Big Lebowski"	15000000	17498804	46189568
"The Wedding Date"	15000000	31726995	47175038
"Book of Shadows: Blair Witch 2"	15000000	26421314	47721314
"The Hurt Locker"	15000000	17017811	49678776
"Drive"	15000000	34983921	50404357
"Nowhere to Run"	15000000	22189039	52189039
"Big Fat Liar"	15000000	47811275	52375275
"The Lizzie McGuire Movie"	15000000	42734455	55534455
"The Craft"	15000000	24769466	55669466
"Not Another Teen Movie"	15000000	37882551	62401343
"Cop Land"	15000000	44906632	63706632
"The Remains of the Day"	15000000	22954968	63954968
"28 Weeks Later"	15000000	28638916	64238440
"Wag the Dog"	15000000	43057470	64252038
"Se jie"	15000000	4604982	65696051
"When a Stranger Calls"	15000000	47860214	66944472
"Lawrence of Arabia"	15000000	37495385	69995385
"Diary of a Wimpy Kid"	15000000	64003625	76127784
"Match Point"	15000000	23089926	87989926
"earth"	15000000	32011576	109011576
"Lethal Weapon"	15000000	65192350	120192350
"The Queen"	15000000	56441711	122840603
"Scream"	15000000	103046663	173046663
"Crouching Tiger, Hidden Dragon"	15000000	128067808	213200000
"Twins"	15000000	111936388	216600000
"Beverly Hills Cop"	15000000	234760478	316300000
"Top Gun"	15000000	176786701	353786701
"American Beauty"	15000000	130058047	356258047
"The King's Speech"	15000000	138797449	427374139
"Home Alone"	15000000	285761243	476684675
"Slither"	15250000	7802450	12834936
"Wasabi"	15300000	81525	7000000
"La Môme"	15500000	10299782	83499782
"Juwanna Man"	15600000	13571817	13771817
"The White Countess"	16000000	1669971	2814566
"Things We Lost in the Fire"	16000000	3287315	8120148
"Highlander"	16000000	5900000	12900000
"Soul Plane"	16000000	13922211	14553807
"Hollywood Ending"	16000000	4839383	14839383
"White Oleander"	16000000	16357770	21657770
"Joe Dirt"	16000000	27087695	30987695
"Jennifer's Body"	16000000	16204793	32832166
"The Roommate"	16000000	37300107	40497461
"See Spot Run"	16000000	33357476	43057552
"Léon"	16000000	19284974	45284974
"The Women"	16000000	26902075	50103808
"The Texas Chainsaw Massacre: The Beginning"	16000000	39517763	50517763
"The Messengers"	16000000	35374833	53774833
"Varsity Blues"	16000000	52894169	54294169
"Remember Me"	16000000	19068240	56506120
"The Unborn"	16000000	42670410	77208315
"Vicky Cristina Barcelona"	16000000	23216709	77216709
"Hot Fuzz"	16000000	23618786	79197493
"El Laberinto del Fauno"	16000000	37634615	83234615
"Road Trip"	16000000	68525609	119739110
"Dumb & Dumber"	16000000	127175374	246400000
"Bienvenue chez les Ch'tis"	16000000	1477650	247474497
"Dead Poets' Society"	16400000	95860116	239500000
"Sydney White"	16500000	11892415	12778631
"House of Sand and Fog"	16500000	13005485	16157923
"Becoming Jane"	16500000	18663911	37588416
"The Illusionist"	16500000	39868642	84276175
"Sense and Sensibility"	16500000	42993774	134993774
"Fur"	16800000	223202	2281089
"Southland Tales"	17000000	275380	364607
"L'illusionniste"	17000000	2231474	2946996
"Running Scared"	17000000	6855137	8345277
"Veronica Guerin"	17000000	1569918	9438074
"They"	17000000	12840842	16140842
"American Dreamz"	17000000	7314027	16510971
"Dickie Roberts: Former Child Star"	17000000	22734486	23734486
"Brooklyn's Finest"	17000000	27163593	37563547
"Beastly"	17000000	27865571	38028230
"Good Boy!"	17000000	37667746	45312217
"Smokin' Aces"	17000000	35662731	56047261
"The Hills Have Eyes"	17000000	41778863	69623713
"Friday the 13th (bis)"	17000000	65002019	91700771
"40 Days and 40 Nights"	17000000	37939782	95092667
"Sideways"	17000000	71502303	109705641
"I Know What You Did Last Summer"	17000000	72250091	125250091
"Jet Li's Hero"	17000000	53652140	177352140
"Aliens"	17000000	85160248	183316455
"The Others"	17000000	96522687	209947037
"Hotel Rwanda"	17500000	23519128	33919128
"Hitman"	17500000	39687694	99965792
"Hoodwinked"	17500000	51386611	110011106
"Step Up 2 the Streets"	17500000	58017783	150017783
"Superbad"	17500000	121463226	169863226
"Hamlet (bis)"	18000000	4501094	7129670
"Being Julia"	18000000	7739049	11817530
"Mao's Last Dancer"	18000000	4806750	12949849
"Weisse Band: Eine deutsche Kindergeschichte, Das"	18000000	2222862	13136561
"Anything Else"	18000000	3203044	13203044
"The Last Station"	18000000	6617867	13723933
"The Ice Storm"	18000000	8038061	16011975
"I Love You, Beth Cooper"	18000000	14800725	16382538
"Catch That Kid"	18000000	16703799	16930762
"Youth in Revolt"	18000000	15285588	19685588
"Life as a House"	18000000	15652637	23889158
"Tailor of Panama"	18000000	13491653	27491653
"Small Time Crooks"	18000000	17266359	29934477
"Love Happens"	18000000	22965110	35365110
"The Fog"	18000000	29511112	37048526
"Orange County"	18000000	41059716	43308707
"Prom Night"	18000000	43869350	57109687
"Bad Santa"	18000000	60060328	60063017
"127 Hours"	18000000	18335230	60735230
"Honey"	18000000	30272254	62192232
"Barbershop 2: Back in Business"	18000000	65070412	65842412
"Austin Powers: International Man of Mystery"	18000000	53883989	67683989
"Diary of a Wimpy Kid: Rodrick Rules"	18000000	52698535	69543178
"United 93"	18000000	31567134	76366864
"Fame"	18000000	22455510	77956957
"Star Trek III: The Search for Spock"	18000000	76471046	87000000
"The Family Stone"	18000000	60062868	91762868
"Deuce Bigalow: Male Gigolo"	18000000	65535067	92935067
"Predator"	18000000	59735548	98267558
"Mean Girls"	18000000	86047227	128947227
"Legally Blonde"	18000000	96493426	141809235
"The Exorcism of Emily Rose"	18000000	75072454	144216468
"Big"	18000000	114968774	151668774
"Borat"	18000000	128505958	261572744
"The Mask"	18000000	119920129	351620129
"Fear and Loathing in Las Vegas"	18500000	10680275	13711903
"The Invention of Lying"	18500000	18451251	32679264
"The Amityville Horror"	18500000	65233369	109175673
"Indigènes"	18900000	320700	22920700
"Kansas City"	19000000	1353824	2500000
"Sex Drive"	19000000	8402485	10412485
"Leap Year"	19000000	25918920	32618920
"Gone, Baby, Gone"	19000000	20300218	34619699
"Notorious"	19000000	36843682	44475155
"The Switch"	19000000	27758465	49858465
"The Crazies"	19000000	39123589	54956140
"House on Haunted Hill"	19000000	40846082	65090541
"Thirteen Ghosts"	19000000	41867960	68467960
"A Cinderella Story"	19000000	51438175	70067909
"Bad Teacher"	19000000	100292856	216412265
"Spirited Away"	19000000	10049886	274949886
"Scary Movie"	19000000	157019771	277200000
"Back to the Future"	19000000	210609762	383874862
"Dances with Wolves"	19000000	184208842	424200000
"The Devil's Double"	19100000	1361512	2406666
"The Painted Veil"	19400000	8060487	15118795
"Der Baader Meinhof Komplex"	19700000	476270	16498827
"All Good Things"	20000000	582024	645024
"The Yards"	20000000	882710	2282710
"Synecdoche, New York"	20000000	3083538	4383538
"Equilibrium"	20000000	1190018	5345869
"The Children of Huang Shi"	20000000	1031872	5527507
"The Brothers Bloom"	20000000	3531756	5531756
"Dylan Dog: Dead of Night"	20000000	1186538	5686538
"People I Know"	20000000	121972	5694213
"A Scanner Darkly"	20000000	5501616	7405084
"Connie & Carla"	20000000	8047525	8047525
"Alone in the Dark"	20000000	5178569	8178569
"Proof"	20000000	7535331	8284331
"Bon Voyage"	20000000	2353728	8361736
"Dangerous Method A"	20000000	2757187	9682756
"The Man"	20000000	8330720	10393696
"Steamboy"	20000000	468867	10468867
"I'm Not There"	20000000	4017609	11498547
"Bandslam"	20000000	5210988	12210988
"Envy"	20000000	13548322	14566246
"Birth"	20000000	5005899	14603001
"Capitalism: A Love Story"	20000000	14363397	14678228
"The Weather Man"	20000000	12482775	15466961
"Paparazzi"	20000000	15712072	16612072
"A Guy Thing"	20000000	15543862	17430594
"12 Rounds"	20000000	12234694	18184083
"Loser"	20000000	15464026	18250106
"Reign Over Me"	20000000	19661987	20081987
"Let Me In"	20000000	12134935	20709272
"Georgia Rule"	20000000	18882880	20819601
"Home for the Holidays"	20000000	17468887	22119269
"Stay Alive"	20000000	23086480	23187506
"Armored"	20000000	15988876	23661038
"Appaloosa"	20000000	20211394	26111394
"Couloirs du temps: Les visiteurs 2, Les"	20000000	146072	26146072
"Ghost Town"	20000000	13252641	26612350
"Doogal"	20000000	7578946	26942802
"The Quiet American"	20000000	12987647	27687647
"To Die For"	20000000	21284514	27688744
"Mrs. Henderson Presents"	20000000	11036366	27836366
"Yu-Gi-Oh"	20000000	19762690	28762690
"The Stepfather"	20000000	29062561	29227561
"Stick It"	20000000	26910736	30399714
"2 For the Money"	20000000	22991379	30491379
"Be Kind Rewind"	20000000	11175164	30575164
"What's Your Number?"	20000000	14011084	30711084
"You Again"	20000000	25702053	31202053
"Everyone Says I Love You"	20000000	9725847	34600000
"Disaster Movie"	20000000	14190901	34690901
"My Best Friend's Girl"	20000000	19219250	34787111
"Psycho"	20000000	21541218	37226218
"The Covenant"	20000000	23364784	38164784
"Man of the Year"	20000000	37442180	41342180
"Lakeview Terrace"	20000000	39263506	44663506
"Death at a Funeral"	20000000	8580428	46790428
"Eternal Sunshine of the Spotless Mind"	20000000	34366518	47066518
"CJ7"	20000000	206678	47300771
"Alpha and Omega 3D"	20000000	25107267	47487697
"High Fidelity"	20000000	27277055	47881663
"She's Out of My League"	20000000	32010860	48680977
"Milk"	20000000	31841299	50164027
"Team America: World Police"	20000000	32774834	50274834
"Doubt"	20000000	33446470	50946957
"Daybreakers"	20000000	30101577	51401577
"Pooh's Heffalump Movie"	20000000	18098433	52858433
"Into the Wild"	20000000	18354356	53813837
"Wild Things"	20000000	29795299	55576699
"21 Grams"	20000000	16248701	60448701
"Why Did I Get Married Too?"	20000000	60095852	60631493
"The Bank Job"	20000000	30060660	64860660
"Street Kings"	20000000	26415649	65589243
"Boogeyman"	20000000	46752382	67192859
"Ghost Ship"	20000000	30113491	68349884
"The Grudge 2"	20000000	39143839	70743839
"Holes"	20000000	67383924	72383924
"The Kite Runner"	20000000	15800078	73222245
"Premonition"	20000000	47852604	81461343
"Date Movie"	20000000	48548426	84548426
"Epic Movie"	20000000	39739367	86858578
"The Last Song"	20000000	62950384	88170291
"The Tigger Movie"	20000000	45522531	96127798
"Are We There Yet?"	20000000	82674398	97918663
"Kung Fu Hustle"	20000000	17104669	101004669
"Peter Pan: Return to Neverland"	20000000	48430258	109862682
"White Chicks"	20000000	69148997	111448997
"Disturbia"	20000000	80209692	117573043
"Mortal Kombat"	20000000	70433227	122133227
"The School of Rock"	20000000	81261177	131161177
"Babel"	20000000	34302837	135302837
"The Jungle Book 2"	20000000	47901582	135703599
"Beverly Hills Chihuahua"	20000000	94514402	145214402
"Mononoke-hime"	20000000	2374107	150350000
"Bringing Down the House"	20000000	132675402	164675402
"Jackass 3D"	20000000	117229692	171685793
"Wayne's World"	20000000	121697323	183097323
"Jaws 2"	20000000	102922376	208900376
"The Silence of the Lambs"	20000000	130726716	275726716
"Beverly Hills Cop II"	20000000	153665036	276665036
"Close Encounters of the Third Kind"	20000000	166000000	337700000
"Home Alone 2: Lost in New York"	20000000	173585516	358994850
"Raiders of the Lost Ark"	20000000	245034358	386800358
"Beauty and the Beast"	20000000	198200000	430336637
"The Beaver"	21000000	970816	5046038
"Away We Go"	21000000	9451946	10108016
"Swing Vote"	21000000	16289867	17589867
"The Bachelor"	21000000	21731001	36882378
"Never Back Down"	21000000	24850922	39319801
"Freedom Writers"	21000000	36605602	43090741
"The Transporter"	21000000	25296447	43928932
"Hardball"	21000000	40222729	44102389
"Death at a Funeral (bis)"	21000000	42739347	48977233
"Michael Clayton"	21500000	49033882	92987651
"Molière"	21600000	635733	791154
"Stone"	22000000	1810078	4065020
"The Libertine"	22000000	4835065	9448623
"I Heart Huckabees"	22000000	12784713	20034713
"The Glass House"	22000000	17951431	22861785
"Saving Silverman"	22000000	19351569	25873142
"Zwartboek"	22000000	4398532	26798532
"Traitor"	22000000	23530831	27664173
"Jay and Silent Bob Strike Back"	22000000	30059386	33762400
"The Informant"	22000000	33316821	41771168
"Deuce Bigalow: European Gigolo"	22000000	22400154	44400154
"Derailed"	22000000	36020063	57520063
"The Rookie"	22000000	75600072	80693537
"Underworld"	22000000	51970690	95708457
"The Net"	22000000	50621733	110521733
"The Game Plan"	22000000	90648202	147914546
"The Bridges of Madison County"	22000000	71516617	175516617
"The Santa Clause"	22000000	144833357	189800000
"There's Something About Mary"	22000000	176484651	360099999
"Ghost"	22000000	217631306	517600000
"1408"	22500000	71985628	131263370
"Chasing Liberty"	23000000	12189514	12291975
"Vanity Fair"	23000000	16123851	19123851
"In the Valley of Elah"	23000000	6777741	24489150
"Someone Like You"	23000000	27338033	38684906
"Coco avant Chanel"	23000000	6113834	50813834
"Pitch Black"	23000000	39235088	53182088
"King Kong"	23000000	52614445	90614445
"Final Destination"	23000000	53302314	112802314
"Bad Boys"	23000000	65647413	141247413
"The Waterboy"	23000000	161491646	190191646
"Star Wars Ep. V: The Empire Strikes Back"	23000000	290271960	534171960
"Zombieland"	23600000	75590286	102791207
"The Bridge of San Luis Rey"	24000000	49981	1696765
"Beyond the Sea"	24000000	6144806	7061637
"Nurse Betty"	24000000	25170054	27732366
"Zack and Miri Make a Porno"	24000000	31457946	36856306
"Footloose"	24000000	51802742	62764139
"The Men Who Stare at Goats"	24000000	32428195	67348218
"The Whole Nine Yards"	24000000	57262492	85262492
"Old School"	24000000	75155000	86325829
"Star Trek IV: The Voyage Home"	24000000	109713132	133000000
"Rocky Balboa"	24000000	70269899	155720088
"Where the Truth Lies"	25000000	872142	1415656
"BloodRayne"	25000000	2405420	3605420
"King's Ransom"	25000000	4008527	4049527
"Bad Lieutenant: Port of Call New Orleans"	25000000	1702112	8162545
"Stop-Loss"	25000000	10915744	11179472
"The Lords of Dogtown"	25000000	11273517	11354893
"The Conspirator"	25000000	11538204	11769215
"Abandon"	25000000	10719367	12219367
"Hot Rod"	25000000	13938332	14334401
"Blindness"	25000000	3073392	14542658
"Possession"	25000000	10103647	14805812
"The Greatest Game Ever Played"	25000000	15331289	15425073
"The Powerpuff Girls"	25000000	11411644	16425701
"The World's Fastest Indian"	25000000	5128124	16509706
"My Soul to Take"	25000000	14744435	16727470
"Warrior"	25000000	13657115	18454936
"The Girl Next Door"	25000000	14589444	18589444
"Half Past Dead"	25000000	15567860	19233280
"Eurotrip"	25000000	17718223	20718223
"Unaccompanied Minors"	25000000	16655224	21949214
"The Ruins"	25000000	17432844	22177122
"The Next Best Thing"	25000000	14983572	24355762
"Punch-Drunk Love"	25000000	17791031	24591031
"Ice Princess"	25000000	24381334	25732334
"The Box"	25000000	15051977	26341896
"The Losers"	25000000	23591432	26714018
"Michael Collins"	25000000	11092559	27572844
"The Road"	25000000	8114270	27614270
"Shark Night 3D"	25000000	18877153	30831626
"Don't Be Afraid of the Dark"	25000000	24046682	31529983
"Dance Flick"	25000000	25662155	32092761
"Kingpin"	25000000	25023424	32223424
"The Adventures of Pinocchio"	25000000	15382170	36682170
"Beauty Shop"	25000000	36351350	38351350
"Contraband"	25000000	37600000	39000000
"Crocodile Dundee in Los Angeles"	25000000	25590119	39393111
"Fly Me To the Moon"	25000000	14543943	40098231
"War"	25000000	22486409	40686409
"Sisterhood of the Traveling Pants"	25000000	39053061	41560117
"A Lot Like Love"	25000000	21835784	47835784
"Bride of Chucky"	25000000	32404188	50692188
"Maximum Risk"	25000000	14102929	51702929
"She's the Man"	25000000	33889159	55279608
"Rugrats Go Wild"	25000000	39402572	55443032
"Spiceworld"	25000000	29342592	56042592
"Cradle 2 the Grave"	25000000	34657731	56434942
"Agent Cody Banks"	25000000	47545060	58240458
"Good Luck Chuck"	25000000	35017297	59183821
"The Wild Thornberrys"	25000000	40108697	60694737
"Nothing To Lose"	25000000	44480039	64594061
"August Rush"	25000000	31664162	65627510
"The House Bunny"	25000000	48237389	70237389
"Anacondas: The Hunt for the Blood Orchid"	25000000	31526393	70326393
"Elizabeth"	25000000	30082699	82150642
"Anchorman: The Legend of Ron Burgundy"	25000000	84136909	89366354
"Romeo Must Die"	25000000	55973336	91036760
"Jimmy Neutron: Boy Genius"	25000000	80936232	102992536
"The Hours"	25000000	41675994	108775994
"Dear John"	25000000	80014842	111362410
"Final Destination 3"	25000000	54098051	112798051
"Freddy vs. Jason"	25000000	82622655	114576403
"Finding Neverland"	25000000	51676606	118676606
"The Omen"	25000000	54607383	119496456
"Nanny McPhee"	25000000	47279279	122540909
"Hide and Seek"	25000000	51100486	123100486
"Legally Blonde 2: Red, White & Blonde"	25000000	90639088	125339088
"Bridge to Terabithia"	25000000	82234139	136934139
"No Strings Attached"	25000000	70662220	149228078
"Chocolat"	25000000	71309760	152500343
"No Country for Old Men"	25000000	74273505	162103209
"Cloverfield"	25000000	80048433	170764033
"Scooby-Doo 2: Monsters Unleashed"	25000000	84185387	181185387
"The Help"	25000000	169582987	205282987
"Taken"	25000000	145000989	225461461
"Mr. Bean's Holiday"	25000000	33302167	229736344
"Gran Torino"	25000000	148095302	262345302
"Bridget Jones's Diary"	25000000	71500556	281527158
"Schindler's List"	25000000	96067179	321307716
"The Bodyguard"	25000000	121945720	410900000
"Rain Man"	25000000	172825435	412800000
"Mrs. Doubtfire"	25000000	219195051	441286003
"The Passion of the Christ"	25000000	370782930	611899420
"W."	25100000	25534493	28575778
"The Constant Gardener"	25500000	33579798	81079798
"Flipper"	25530000	20080020	30593313
"The Curse of the Jade Scorpion"	26000000	7496522	18496522
"Agent Cody Banks 2: Destination London"	26000000	23514247	28703083
"Brothers"	26000000	28544157	36836544
"Clockstoppers"	26000000	36985501	38788828
"In Good Company"	26000000	45489752	63489752
"O Brother, Where Art Thou"	26000000	45506619	65976782
"Open Range"	26000000	58331254	68296293
"Legion"	26000000	40168080	68854097
"Final Destination 2"	26000000	46896664	90396664
"Red-Eye"	26000000	57891803	95555805
"The Pineapple Express"	26000000	87341380	101549277
"New Year's Eve"	26000000	54048692	141548692
"Freaky Friday"	26000000	110222438	160822438
"The 40 Year-old Virgin"	26000000	109449237	177360047
"Paul Blart: Mall Cop"	26000000	146336178	181770978
"Philadelphia"	26000000	77324422	201324422
"Kindergarten Cop"	26000000	91457688	202000000
"Shakespeare in Love"	26000000	100317794	279500000
"The Statement"	27000000	765637	1545064
"What Just Happened"	27000000	1090947	2412123
"The Martian Child"	27000000	7500310	9076823
"The Honeymooners"	27000000	12834849	13174426
"Mindhunters"	27000000	4476235	16566235
"Dark City"	27000000	14435076	27257061
"Case 39"	27000000	13261851	29302804
"The Sisterhood of the Traveling Pants 2"	27000000	44089964	44154645
"Lucky Number Slevin"	27000000	22495466	55495466
"Spy Kids: All the Time in the World"	27000000	38536376	68493130
"The Divine Secrets of the Ya-Ya Sisterhood"	27000000	69586544	73826768
"Star Trek VI: The Undiscovered Country"	27000000	74888996	96900000
"About a Boy"	27000000	40803000	129949664
"Limitless"	27000000	79249455	154158617
"Anonymous"	27500000	4463292	15395087
"Rendition"	27500000	9736045	27036045
"Welcome Home Roscoe Jenkins"	27500000	42436517	43607627
"Notes on a Scandal"	27500000	17510118	49752391
"My Sister's Keeper"	27500000	49200230	89053995
"Octopussy"	27500000	67900000	187500000
"Knocked Up"	27500000	148761765	219154490
"How to Lose Friends & Alienate People"	28000000	2775593	12031443
"Lost Souls"	28000000	16779636	31320293
"Blade Runner"	28000000	32656328	33139618
"Winged Migration"	28000000	11689053	33189053
"Just My Luck"	28000000	17326650	38159905
"30 Minutes or Less"	28000000	37053924	40883587
"We Own the Night"	28000000	28563179	54700285
"Zoolander"	28000000	45172250	60780981
"The Miracle"	28000000	64378093	64445708
"The Royal Tenenbaums"	28000000	52353636	71430876
"Serendipity"	28000000	50255310	75294136
"Identity"	28000000	52131264	90231264
"No Reservations"	28000000	43107979	91665799
"The Wedding Planner"	28000000	60400856	94728529
"Kick-Ass"	28000000	48071303	101577303
"Timecop"	28000000	44853581	102053581
"Dawn of the Dead (bis)"	28000000	58990765	102290765
"Along Came a Spider"	28000000	74058698	105159085
"Pride and Prejudice"	28000000	38372662	120918508
"Die Hard"	28000000	81350242	139109346
"The Rugrats Movie"	28000000	100494685	140894685
"For Your Eyes Only"	28000000	54800000	195300000
"Indiana Jones and the Temple of Doom"	28000000	179880271	333080271
"Aladdin"	28000000	217350219	504050219
"The Jacket"	28500000	6301131	15452978
"Taking Woodstock"	29000000	7460204	10066366
"Serving Sara"	29000000	16930185	20146150
"Seed of Chucky"	29000000	17016190	24716190
"Frost/Nixon"	29000000	18622031	28144586
"Confessions of a Dangerous Mind"	29000000	16007718	33013805
"Keeping the Faith"	29000000	37036404	45336404
"The Borrowers"	29000000	22619589	54045832
"Once Upon a Time in Mexico"	29000000	56330657	98156459
"Twelve Monkeys"	29000000	57141459	168841459
"Walk the Line"	29000000	119519402	186653947
"DOA: Dead or Alive"	30000000	480314	2670860
"Supercross"	30000000	3102550	3252550
"Gloria"	30000000	4167493	4967493
"The Good Thief"	30000000	3517797	6460758
"Barney's Version"	30000000	7502560	8845575
"First Daughter"	30000000	9055010	10419084
"The Assassination of Jesse James by the Coward Robert Ford"	30000000	3909149	15001776
"Alex & Emma"	30000000	14208384	15358583
"Godsend"	30000000	14334645	16910708
"Hoodwinked 2: Hood vs. Evil"	30000000	10143779	16932317
"Antitrust"	30000000	10965209	17865209
"An Unfinished Life"	30000000	8535575	18535575
"The Merchant of Venice"	30000000	3765585	18765585
"Fled"	30000000	17192205	19892205
"Ultraviolet"	30000000	18522064	20722064
"Wicker Park"	30000000	13001257	21601257
"Little Black Book"	30000000	20422207	21758371
"Mr. 3000"	30000000	21800302	21827296
"Splice"	30000000	17010170	22461001
"North Country"	30000000	18324242	25224242
"The New World"	30000000	12712093	26184400
"The Whole Ten Yards"	30000000	16323969	26323969
"Igor"	30000000	19528602	26608764
"One True Thing"	30000000	23337196	26708196
"The Cave"	30000000	15007991	27147991
"Bulworth"	30000000	26528684	29203383
"The Prince & Me"	30000000	28165882	29356757
"88 Minutes"	30000000	16930884	32955399
"Miss Potter"	30000000	3005605	35025861
"Wu ji"	30000000	669625	35869934
"Assault On Precinct 13"	30000000	20040895	36040895
"Winnie the Pooh"	30000000	26692846	36439948
"Fright Night"	30000000	18298649	37098649
"What's the Worst That Could Happen?"	30000000	32267774	38462071
"Gridiron Gang"	30000000	38432823	41480851
"Pride and Glory"	30000000	15740721	43440721
"Stranger Than Fiction"	30000000	40435190	45235190
"9"	30000000	31749894	46603791
"Secondhand Lions"	30000000	42070939	47902566
"Mortal Kombat: Annihilation"	30000000	35927406	51327406
"Blue Crush"	30000000	40118420	51327420
"Le Petit Nicolas"	30000000	201857	52339566
"Dragonball Evolution"	30000000	9362785	58228460
"The Imaginarium of Doctor Parnassus"	30000000	7689607	58693128
"Friday Night Lights"	30000000	61255921	61950770
"Like Mike"	30000000	51432423	62432423
"Baby Mama"	30000000	60494212	64391484
"Without a Paddle"	30000000	58156435	65121280
"Take the Lead"	30000000	34742066	65742066
"The Next Three Days"	30000000	21148651	67255916
"Star Trek V: The Final Frontier"	30000000	52210049	70200000
"Down to Earth"	30000000	64172251	71172251
"Letters to Juliet"	30000000	53032453	79135982
"30 Days of Night"	30000000	39568996	80276156
"Hope Floats"	30000000	60110313	81529000
"Midnight Run"	30000000	38413606	81613606
"Blow"	30000000	52990775	83282296
"Meet the Spartans"	30000000	38233676	84646831
"Drag Me To Hell"	30000000	42100625	90800625
"Four Brothers"	30000000	74494381	92494381
"Racing Stripes"	30000000	49772522	93772522
"13 Going On 30"	30000000	57139723	96439723
"The Notebook"	30000000	81001787	102276787
"Love and Other Drugs"	30000000	32367005	102719647
"Rugrats in Paris"	30000000	76501438	103284813
"Forgetting Sarah Marshall"	30000000	63172463	105173042
"About Schmidt"	30000000	65005217	105823486
"Bride Wars"	30000000	58715510	115150424
"The Corpse Bride"	30000000	53359111	117359111
"Midnight in Paris"	30000000	56424566	128525740
"Atonement"	30000000	50980159	130200290
"Pokemon 2000"	30000000	43746923	133946923
"Remember the Titans"	30000000	115654751	136706683
"SpongeBob SquarePants"	30000000	85416609	140416609
"A View to a Kill"	30000000	50327960	152627960
"Mystic River"	30000000	90135191	156835191
"Pokemon: The First Movie"	30000000	85744662	163644662
"The Princess Diaries"	30000000	108244774	165334774
"Up in the Air"	30000000	83823381	166842739
"Dodgeball: A True Underdog Story"	30000000	114326736	167791704
"Analyze This"	30000000	106885658	176885658
"The First Wives Club"	30000000	105489203	181489203
"Wallace & Gromit: The Curse of the Were-Rabbit"	30000000	56068547	185724838
"The Addams Family"	30000000	113502246	191502246
"The Hunt for Red October"	30000000	120709866	200500000
"Ace Ventura: When Nature Calls"	30000000	108360063	212400000
"District 9"	30000000	115646235	215196627
"Million Dollar Baby"	30000000	100492203	216763646
"Big Daddy"	30000000	163479795	228641283
"Babe"	30000000	63658910	246100000
"Speed"	30000000	121248145	283200000
